Location Name,Lat,Long,Datetime,Parameter,Member,Value
rail,55.78125,-1.828125,2022-07-10T07:00:00,air_temperature,23,288.67737
rail,55.96875,-3.234375,2022-07-10T07:00:00,air_temperature,23,287.68536
rail,55.96875,-2.953125,2022-07-10T07:00:00,air_temperature,23,287.39737
rail,55.96875,-2.671875,2022-07-10T07:00:00,air_temperature,23,286.34137
rail,55.96875,-2.390625,2022-07-10T07:00:00,air_temperature,23,286.94937
rail,51.65625,-0.140625,2022-07-10T08:00:00,air_temperature,23,291.45462
rail,51.84375,-0.140625,2022-07-10T08:00:00,air_temperature,23,291.45462
rail,52.03125,-0.140625,2022-07-10T08:00:00,air_temperature,23,291.87064
rail,52.21875,-0.421875,2022-07-10T08:00:00,air_temperature,23,291.87064
rail,52.21875,-0.140625,2022-07-10T08:00:00,air_temperature,23,292.51062
rail,52.40625,-0.140625,2022-07-10T08:00:00,air_temperature,23,292.54263
rail,52.59375,-0.421875,2022-07-10T08:00:00,air_temperature,23,291.9666
rail,52.59375,-0.140625,2022-07-10T08:00:00,air_temperature,23,291.87064
rail,52.78125,-0.703125,2022-07-10T08:00:00,air_temperature,23,292.25464
rail,52.78125,-0.421875,2022-07-10T08:00:00,air_temperature,23,292.47864
rail,52.96875,-0.703125,2022-07-10T08:00:00,air_temperature,23,292.47864
rail,53.15625,-0.984375,2022-07-10T08:00:00,air_temperature,23,292.12662
rail,53.15625,-0.703125,2022-07-10T08:00:00,air_temperature,23,292.15863
rail,53.34375,-0.984375,2022-07-10T08:00:00,air_temperature,23,292.44662
rail,53.53125,-0.984375,2022-07-10T08:00:00,air_temperature,23,292.54263
rail,53.71875,-1.265625,2022-07-10T08:00:00,air_temperature,23,292.57462
rail,53.71875,-0.984375,2022-07-10T08:00:00,air_temperature,23,292.89462
rail,53.90625,-1.265625,2022-07-10T08:00:00,air_temperature,23,292.83063
rail,53.90625,-0.984375,2022-07-10T08:00:00,air_temperature,23,292.25464
rail,54.09375,-1.265625,2022-07-10T08:00:00,air_temperature,23,292.70264
rail,54.28125,-1.546875,2022-07-10T08:00:00,air_temperature,23,292.06262
rail,54.28125,-1.265625,2022-07-10T08:00:00,air_temperature,23,292.7986
rail,54.46875,-1.546875,2022-07-10T08:00:00,air_temperature,23,292.51062
rail,54.65625,-1.546875,2022-07-10T08:00:00,air_temperature,23,292.89462
rail,54.84375,-1.546875,2022-07-10T08:00:00,air_temperature,23,292.12662
rail,55.03125,-1.546875,2022-07-10T08:00:00,air_temperature,23,287.42264
rail,55.21875,-1.546875,2022-07-10T08:00:00,air_temperature,23,291.71063
rail,55.40625,-1.828125,2022-07-10T08:00:00,air_temperature,23,292.4146
rail,55.40625,-1.546875,2022-07-10T08:00:00,air_temperature,23,288.25464
rail,55.59375,-1.828125,2022-07-10T08:00:00,air_temperature,23,292.35062
rail,55.78125,-2.390625,2022-07-10T08:00:00,air_temperature,23,290.87863
rail,55.78125,-2.109375,2022-07-10T08:00:00,air_temperature,23,291.67862
rail,55.78125,-1.828125,2022-07-10T08:00:00,air_temperature,23,289.15063
rail,55.96875,-3.234375,2022-07-10T08:00:00,air_temperature,23,288.99063
rail,55.96875,-2.953125,2022-07-10T08:00:00,air_temperature,23,289.15063
rail,55.96875,-2.671875,2022-07-10T08:00:00,air_temperature,23,286.71863
rail,55.96875,-2.390625,2022-07-10T08:00:00,air_temperature,23,287.29462
rail,51.65625,-0.140625,2022-07-10T09:00:00,air_temperature,23,292.8885
rail,51.84375,-0.140625,2022-07-10T09:00:00,air_temperature,23,292.9205
rail,52.03125,-0.140625,2022-07-10T09:00:00,air_temperature,23,293.4325
rail,52.21875,-0.421875,2022-07-10T09:00:00,air_temperature,23,293.5925
rail,52.21875,-0.140625,2022-07-10T09:00:00,air_temperature,23,294.3285
rail,52.40625,-0.140625,2022-07-10T09:00:00,air_temperature,23,294.5525
rail,52.59375,-0.421875,2022-07-10T09:00:00,air_temperature,23,294.0725
rail,52.59375,-0.140625,2022-07-10T09:00:00,air_temperature,23,293.9125
rail,52.78125,-0.703125,2022-07-10T09:00:00,air_temperature,23,294.2005
rail,52.78125,-0.421875,2022-07-10T09:00:00,air_temperature,23,294.5845
rail,52.96875,-0.703125,2022-07-10T09:00:00,air_temperature,23,294.2645
rail,53.15625,-0.984375,2022-07-10T09:00:00,air_temperature,23,293.6565
rail,53.15625,-0.703125,2022-07-10T09:00:00,air_temperature,23,293.7525
rail,53.34375,-0.984375,2022-07-10T09:00:00,air_temperature,23,294.0405
rail,53.53125,-0.984375,2022-07-10T09:00:00,air_temperature,23,294.1685
rail,53.71875,-1.265625,2022-07-10T09:00:00,air_temperature,23,294.2645
rail,53.71875,-0.984375,2022-07-10T09:00:00,air_temperature,23,294.4565
rail,53.90625,-1.265625,2022-07-10T09:00:00,air_temperature,23,294.6165
rail,53.90625,-0.984375,2022-07-10T09:00:00,air_temperature,23,293.9445
rail,54.09375,-1.265625,2022-07-10T09:00:00,air_temperature,23,294.5205
rail,54.28125,-1.546875,2022-07-10T09:00:00,air_temperature,23,293.9765
rail,54.28125,-1.265625,2022-07-10T09:00:00,air_temperature,23,294.3925
rail,54.46875,-1.546875,2022-07-10T09:00:00,air_temperature,23,294.1365
rail,54.65625,-1.546875,2022-07-10T09:00:00,air_temperature,23,293.9125
rail,54.84375,-1.546875,2022-07-10T09:00:00,air_temperature,23,293.1125
rail,55.03125,-1.546875,2022-07-10T09:00:00,air_temperature,23,287.3205
rail,55.21875,-1.546875,2022-07-10T09:00:00,air_temperature,23,293.5285
rail,55.40625,-1.828125,2022-07-10T09:00:00,air_temperature,23,293.7525
rail,55.40625,-1.546875,2022-07-10T09:00:00,air_temperature,23,288.3445
rail,55.59375,-1.828125,2022-07-10T09:00:00,air_temperature,23,293.7525
rail,55.78125,-2.390625,2022-07-10T09:00:00,air_temperature,23,292.0565
rail,55.78125,-2.109375,2022-07-10T09:00:00,air_temperature,23,292.8245
rail,55.78125,-1.828125,2022-07-10T09:00:00,air_temperature,23,289.4325
rail,55.96875,-3.234375,2022-07-10T09:00:00,air_temperature,23,291.0645
rail,55.96875,-2.953125,2022-07-10T09:00:00,air_temperature,23,291.0965
rail,55.96875,-2.671875,2022-07-10T09:00:00,air_temperature,23,287.2565
rail,55.96875,-2.390625,2022-07-10T09:00:00,air_temperature,23,287.7365
rail,51.65625,-0.140625,2022-07-10T10:00:00,air_temperature,23,294.14224
rail,51.84375,-0.140625,2022-07-10T10:00:00,air_temperature,23,294.14224
rail,52.03125,-0.140625,2022-07-10T10:00:00,air_temperature,23,294.75024
rail,52.21875,-0.421875,2022-07-10T10:00:00,air_temperature,23,295.00626
rail,52.21875,-0.140625,2022-07-10T10:00:00,air_temperature,23,295.67825
rail,52.40625,-0.140625,2022-07-10T10:00:00,air_temperature,23,296.03024
rail,52.59375,-0.421875,2022-07-10T10:00:00,air_temperature,23,295.48624
rail,52.59375,-0.140625,2022-07-10T10:00:00,air_temperature,23,295.58224
rail,52.78125,-0.703125,2022-07-10T10:00:00,air_temperature,23,295.48624
rail,52.78125,-0.421875,2022-07-10T10:00:00,air_temperature,23,295.99826
rail,52.96875,-0.703125,2022-07-10T10:00:00,air_temperature,23,295.48624
rail,53.15625,-0.984375,2022-07-10T10:00:00,air_temperature,23,294.75024
rail,53.15625,-0.703125,2022-07-10T10:00:00,air_temperature,23,294.94226
rail,53.34375,-0.984375,2022-07-10T10:00:00,air_temperature,23,295.23026
rail,53.53125,-0.984375,2022-07-10T10:00:00,air_temperature,23,295.39026
rail,53.71875,-1.265625,2022-07-10T10:00:00,air_temperature,23,295.48624
rail,53.71875,-0.984375,2022-07-10T10:00:00,air_temperature,23,295.61426
rail,53.90625,-1.265625,2022-07-10T10:00:00,air_temperature,23,295.77426
rail,53.90625,-0.984375,2022-07-10T10:00:00,air_temperature,23,295.13425
rail,54.09375,-1.265625,2022-07-10T10:00:00,air_temperature,23,295.67825
