Location Name,Lat,Long,Datetime,Member,Parameter,Value
rail,51.65625,-0.140625,18/07/2022,0,air_temperature,23.943750000000023
rail,51.84375,-0.140625,18/07/2022,0,air_temperature,23.100000000000023
rail,52.03125,-0.140625,18/07/2022,0,air_temperature,23.100000000000023
rail,52.21875,-0.421875,18/07/2022,0,air_temperature,23.131250000000023
rail,52.21875,-0.140625,18/07/2022,0,air_temperature,24.068750000000023
rail,52.40625,-0.140625,18/07/2022,0,air_temperature,24.037500000000023
rail,52.59375,-0.421875,18/07/2022,0,air_temperature,23.506250000000023
rail,52.59375,-0.140625,18/07/2022,0,air_temperature,23.381250000000023
rail,52.78125,-0.703125,18/07/2022,0,air_temperature,24.256250000000023
rail,52.78125,-0.421875,18/07/2022,0,air_temperature,24.287500000000023
rail,52.96875,-0.703125,18/07/2022,0,air_temperature,23.881250000000023
rail,53.15625,-0.984375,18/07/2022,0,air_temperature,22.412500000000023
rail,53.15625,-0.703125,18/07/2022,0,air_temperature,22.662500000000023
rail,53.34375,-0.984375,18/07/2022,0,air_temperature,22.787500000000023
rail,53.53125,-0.984375,18/07/2022,0,air_temperature,22.912500000000023
rail,53.71875,-1.265625,18/07/2022,0,air_temperature,24.443750000000023
rail,53.71875,-0.984375,18/07/2022,0,air_temperature,23.162500000000023
rail,53.90625,-1.265625,18/07/2022,0,air_temperature,23.662500000000023
rail,53.90625,-0.984375,18/07/2022,0,air_temperature,22.162500000000023
rail,54.09375,-1.265625,18/07/2022,0,air_temperature,23.662500000000023
rail,54.28125,-1.546875,18/07/2022,0,air_temperature,23.131250000000023
rail,54.28125,-1.265625,18/07/2022,0,air_temperature,23.912500000000023
rail,54.46875,-1.546875,18/07/2022,0,air_temperature,23.506250000000023
rail,54.65625,-1.546875,18/07/2022,0,air_temperature,23.506250000000023
rail,54.84375,-1.546875,18/07/2022,0,air_temperature,22.787500000000023
rail,55.03125,-1.546875,18/07/2022,0,air_temperature,16.068750000000023
rail,55.21875,-1.546875,18/07/2022,0,air_temperature,21.412500000000023
rail,55.40625,-1.828125,18/07/2022,0,air_temperature,21.693750000000023
rail,55.40625,-1.546875,18/07/2022,0,air_temperature,16.475000000000023
rail,55.59375,-1.828125,18/07/2022,0,air_temperature,22.162500000000023
rail,55.78125,-2.390625,18/07/2022,0,air_temperature,20.756250000000023
rail,55.78125,-2.109375,18/07/2022,0,air_temperature,21.412500000000023
rail,55.78125,-1.828125,18/07/2022,0,air_temperature,15.662500000000023
rail,55.96875,-3.234375,18/07/2022,0,air_temperature,20.725000000000023
rail,55.96875,-2.953125,18/07/2022,0,air_temperature,20.818750000000023
rail,55.96875,-2.671875,18/07/2022,0,air_temperature,14.225000000000023
rail,55.96875,-2.390625,18/07/2022,0,air_temperature,14.412500000000023
rail,51.65625,-0.140625,18/07/2022,0,air_temperature,25.271875000000023
rail,51.84375,-0.140625,18/07/2022,0,air_temperature,24.740625000000023
rail,52.03125,-0.140625,18/07/2022,0,air_temperature,24.803125000000023
rail,52.21875,-0.421875,18/07/2022,0,air_temperature,25.209375000000023
rail,52.21875,-0.140625,18/07/2022,0,air_temperature,25.709375000000023
rail,52.40625,-0.140625,18/07/2022,0,air_temperature,26.365625000000023
rail,52.59375,-0.421875,18/07/2022,0,air_temperature,25.959375000000023
rail,52.59375,-0.140625,18/07/2022,0,air_temperature,25.928125000000023
rail,52.78125,-0.703125,18/07/2022,0,air_temperature,26.803125000000023
rail,52.78125,-0.421875,18/07/2022,0,air_temperature,26.771875000000023
rail,52.96875,-0.703125,18/07/2022,0,air_temperature,26.303125000000023
rail,53.15625,-0.984375,18/07/2022,0,air_temperature,23.896875000000023
rail,53.15625,-0.703125,18/07/2022,0,air_temperature,24.553125000000023
rail,53.34375,-0.984375,18/07/2022,0,air_temperature,24.521875000000023
rail,53.53125,-0.984375,18/07/2022,0,air_temperature,24.803125000000023
rail,53.71875,-1.265625,18/07/2022,0,air_temperature,26.021875000000023
rail,53.71875,-0.984375,18/07/2022,0,air_temperature,24.990625000000023
rail,53.90625,-1.265625,18/07/2022,0,air_temperature,25.615625000000023
rail,53.90625,-0.984375,18/07/2022,0,air_temperature,23.928125000000023
rail,54.09375,-1.265625,18/07/2022,0,air_temperature,25.271875000000023
rail,54.28125,-1.546875,18/07/2022,0,air_temperature,23.959375000000023
rail,54.28125,-1.265625,18/07/2022,0,air_temperature,25.553125000000023
rail,54.46875,-1.546875,18/07/2022,0,air_temperature,24.553125000000023
rail,54.65625,-1.546875,18/07/2022,0,air_temperature,24.959375000000023
rail,54.84375,-1.546875,18/07/2022,0,air_temperature,23.959375000000023
rail,55.03125,-1.546875,18/07/2022,0,air_temperature,16.209375000000023
rail,55.21875,-1.546875,18/07/2022,0,air_temperature,22.490625000000023
rail,55.40625,-1.828125,18/07/2022,0,air_temperature,22.896875000000023
rail,55.40625,-1.546875,18/07/2022,0,air_temperature,16.678125000000023
rail,55.59375,-1.828125,18/07/2022,0,air_temperature,23.459375000000023
rail,55.78125,-2.390625,18/07/2022,0,air_temperature,21.803125000000023
rail,55.78125,-2.109375,18/07/2022,0,air_temperature,22.678125000000023
rail,55.78125,-1.828125,18/07/2022,0,air_temperature,15.959375000000023
rail,55.96875,-3.234375,18/07/2022,0,air_temperature,21.803125000000023
rail,55.96875,-2.953125,18/07/2022,0,air_temperature,22.115625000000023
rail,55.96875,-2.671875,18/07/2022,0,air_temperature,14.365625000000023
rail,55.96875,-2.390625,18/07/2022,0,air_temperature,14.490625000000023
rail,51.65625,-0.140625,18/07/2022,0,air_temperature,27.146875000000023
rail,51.84375,-0.140625,18/07/2022,0,air_temperature,26.646875000000023
rail,52.03125,-0.140625,18/07/2022,0,air_temperature,26.928125000000023
rail,52.21875,-0.421875,18/07/2022,0,air_temperature,26.646875000000023
rail,52.21875,-0.140625,18/07/2022,0,air_temperature,27.428125000000023
rail,52.40625,-0.140625,18/07/2022,0,air_temperature,27.428125000000023
rail,52.59375,-0.421875,18/07/2022,0,air_temperature,28.396875000000023
rail,52.59375,-0.140625,18/07/2022,0,air_temperature,28.365625000000023
rail,52.78125,-0.703125,18/07/2022,0,air_temperature,29.084375000000023
rail,52.78125,-0.421875,18/07/2022,0,air_temperature,29.240625000000023
rail,52.96875,-0.703125,18/07/2022,0,air_temperature,28.396875000000023
rail,53.15625,-0.984375,18/07/2022,0,air_temperature,25.709375000000023
rail,53.15625,-0.703125,18/07/2022,0,air_temperature,26.459375000000023
rail,53.34375,-0.984375,18/07/2022,0,air_temperature,26.271875000000023
rail,53.53125,-0.984375,18/07/2022,0,air_temperature,26.709375000000023
rail,53.71875,-1.265625,18/07/2022,0,air_temperature,27.521875000000023
rail,53.71875,-0.984375,18/07/2022,0,air_temperature,26.865625000000023
rail,53.90625,-1.265625,18/07/2022,0,air_temperature,27.146875000000023
rail,53.90625,-0.984375,18/07/2022,0,air_temperature,25.709375000000023
rail,54.09375,-1.265625,18/07/2022,0,air_temperature,26.834375000000023
rail,54.28125,-1.546875,18/07/2022,0,air_temperature,25.240625000000023
rail,54.28125,-1.265625,18/07/2022,0,air_temperature,26.709375000000023
rail,54.46875,-1.546875,18/07/2022,0,air_temperature,25.584375000000023
rail,54.65625,-1.546875,18/07/2022,0,air_temperature,26.115625000000023
rail,54.84375,-1.546875,18/07/2022,0,air_temperature,25.334375000000023
rail,55.03125,-1.546875,18/07/2022,0,air_temperature,16.490625000000023
rail,55.21875,-1.546875,18/07/2022,0,air_temperature,23.740625000000023
rail,55.40625,-1.828125,18/07/2022,0,air_temperature,24.334375000000023
rail,55.40625,-1.546875,18/07/2022,0,air_temperature,16.865625000000023
rail,55.59375,-1.828125,18/07/2022,0,air_temperature,24.771875000000023
rail,55.78125,-2.390625,18/07/2022,0,air_temperature,23.178125000000023
rail,55.78125,-2.109375,18/07/2022,0,air_temperature,23.771875000000023
rail,55.78125,-1.828125,18/07/2022,0,air_temperature,16.521875000000023
rail,55.96875,-3.234375,18/07/2022,0,air_temperature,23.396875000000023
rail,55.96875,-2.953125,18/07/2022,0,air_temperature,23.396875000000023
rail,55.96875,-2.671875,18/07/2022,0,air_temperature,14.521875000000023
rail,55.96875,-2.390625,18/07/2022,0,air_temperature,14.771875000000023
rail,51.65625,-0.140625,18/07/2022,0,air_temperature,29.193750000000023
rail,51.84375,-0.140625,18/07/2022,0,air_temperature,27.381250000000023
rail,52.03125,-0.140625,18/07/2022,0,air_temperature,28.506250000000023
rail,52.21875,-0.421875,18/07/2022,0,air_temperature,28.662500000000023
